longitude,latitude,Size
151.19451258106355,-33.82643942931258,783816
151.1669823605707,-33.88135110246433,789060
149.12743527885863,-35.289372114137485,770980
151.49283022049286,-33.17139130998703,788724
150.89946575875487,-33.87131193255512,788556
151.78350207522698,-32.0621120622568,789692
151.08115927367055,-33.9951261997406,815168
151.68498988326849,-32.91506238651103,781657
148.9194460106383,-32.60422074468085,765120
150.65318936446172,-34.62706381322957,775845
151.2094664072633,-33.85663722438392,806012
148.73521322957197,-35.16640038910506,784810
151.21894526588846,-33.91253346303502,774376
151.2257185473411,-33.78896342412451,782971
151.2064319066148,-33.87350363164721,793755
151.28009092088197,-33.5726495460441,776733
149.46942075226977,-35.657041504539556,801815
150.67873981841763,-33.70127730220493,806596
151.05546653696499,-33.86277509727626,783333
151.12310869001297,-33.78157535667964,797187
150.76219753566798,-34.14251686121919,799377
150.97469182879377,-33.7111588845655,785503
