longitude,latitude,Size
153.04636426592796,-27.46390969529086,744047
153.01304113573408,-27.494926869806093,736713
153.28216052631578,-27.918678531855956,740344
152.94766980609418,-26.530723407202213,721057
153.0236231301939,-27.410461772853186,747343
153.15578130193904,-27.605338781163436,734964
153.4421522160665,-28.344966481994458,743296
152.98167506925208,-27.11059916897507,758702
152.87178282548476,-27.630737673130195,734024
152.4936652234637,-29.96367276536312,737965
151.9058972299169,-27.627659833795015,735764
